I 12/13,#,Level,Unit,Square,Bag,Flake portion,L(max),L(tech),W(mid length),T(mid length),T(bulb),P(w),P(t),EPA,EPA angle,Length Profile,MASS,Edge profile,Rock,P(morph),P(prep),P(prep on dorsal),P(abr),Cone,Cort,Dorsal scar pattern,Frac initiation point,Type,Termination,Twisted,Photo,Notes
,616,bas,96,i12,85,complete,20.8,20.8,7.07,2.17,1.67,NA,1.64,NA,#VALUE!,1,0.3,Converging,Chert,Broken / fissured,Absent (broken platform),small removals following scar ridges (A3),Other,Eraillure scar,11-40%,Unidirectional-parallel A,Expressed and lateralized on the platform, B1,Feather,yes,yes,bipolar
,617,bas,96,i12,85,complete,17.26,17.26,3.68,1.48,1.63,1.72,0.99,NA,#VALUE!,1,0.08,Paralell,Chert,Oval/triangular (D3),Faceted (bulb negatives are present),short hinged removals (A2),Slight,Hinged bulb,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,yes,yes,great hinged bulb
,618,bas,96,i12,85,complete,26.44,24.56,7.22,4.69,2.46,6.01,0.76,NA,#VALUE!,3,1.05,Paralell,Chert,Narrow linear (D2),None (plain),None (A1);,None,Eraillure scar,0,Unidirectional-parallel A,Expressed and lateralized on the platform, B7,Axial,NA,yes,retouch on distal?
,619,bas,96,i12,85,complete,21.84,21.86,11.02,4.57,2.74,5.84,1.01,NA,#VALUE!,1,0.99,Paralell,Agate,Crushed,Reduced to an edge,short hinged removals (A2),Very high,Sheared bulb,0,NA,Expressed and centered on the platform, B1,Axial,NA,no,
,620,bas,96,i12,85,complete,25.5,25.49,7.52,4.93,2.66,5.45,1.63,2.17,56.24747077,0.3,0.9,Converging,Chert,Lunate (D4),Cortical,short hinged removals (A2),Very high,Hertzian cone present,0,Bidirectional/opposed,Expressed and centered on the platform, B1,Axial,yes,yes,
,621,bas,96,i12,85,complete,19.75,19.75,8.66,2.77,5.12,5.97,4.92,3.04,73.64942342,1.5,0.64,Converging,Chert,Oval/triangular (D3),Cortical,None (A1);,High,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,622,bas,96,i12,85,complete,23.03,23.07,8.88,4.08,3.58,8.13,3.06,3.08,74.36941291,0.4,0.97,Paralell,Chert,Quadrangular or wide trapezoidal (D5),None (plain),short hinged removals (A2),High,Hertzian cone present,11-40%,Unidirectional-parallel A,Expressed and centered on the platform, B7,Axial,no,yes,"crushing on distal, lamiNAr dorsal scars"
,623,bas,96,i12,85,proximal but nearly complete,26.92,26.96,8.29,3.91,2.19,6.06,1.76,NA,#VALUE!,1,0.85,Paralell,Chert,Broken / fissured,Reduced to an edge,short hinged removals (A2),Very high,Hertzian cone present,0,UnidirectioNAl-convergent,Expressed and centered on the platform, B1,Broken,no,yes,
,624,bas,96,i12,85,proximal but nearly complete,12.64,12.64,5.77,1.78,1.73,1.84,0.95,NA,#VALUE!,0,0.14,Converging,Chalcedony,Crushed,Reduced to an edge,short hinged removals (A2),High,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,625,bas,96,i12,85,complete,18.46,18.47,4.14,1.29,1.44,3.59,0.93,NA,#VALUE!,0.2,0.14,Converging,Chert,Narrow linear (D2),None (plain),None (A1);,Slight,Hertzian cone present,0,UnidirectioNAl-convergent,Expressed and lateralized on the platform, B1,Feather,no,yes,
,626,bas,96,i12,85,complete,21.09,21.09,7.14,4.02,3.18,3.89,0.85,NA,#VALUE!,0.3,0.55,Paralell,Chert,Missing,Other,small removals following scar ridges (A3),None,none,0,UnidirectioNAl-convergent,Non-expressed, B1,Axial,no,yes,
,627,bas,96,i12,85,complete,19.06,18.14,8.69,2.2,1.58,3.69,0.64,NA,#VALUE!,NA,0.37,Paralell,Chalcedony,Narrow linear (D2),None (plain),short hinged removals (A2),High,Hertzian cone present,0,Bidirectional/opposed,Expressed and lateralized on the platform, B1,Feather,no,yes,
,628,bas,96,i12,85,complete,22.12,22.11,6.07,2.69,2.3,4.66,1.64,2.37,60.54796591,3,0.37,Converging,Chalcedony,Oval/triangular (D3),None (plain),short hinged removals (A2),Very high,Hertzian cone present,0,Bidirectional/opposed,Expressed and centered on the platform, B1,Bipolar ,no,yes,
,629,bas,96,i12,85,complete,22.93,22.93,9.07,3.78,4.8,6.13,1.21,NA,#VALUE!,0,0.7,Converging,Agate,Crushed,Reduced to an edge,short hinged removals (A2),Very high,none,0,NA,Non-expressed, B7,Feather,NA,yes,
,630,bas,96,i12,85,complete,19.69,19.69,5.47,1.75,1.61,NA,NA,NA,#VALUE!,1,0.26,Paralell,Chert,Broken / fissured,Absent (broken platform),small removals following scar ridges (A3),Slight,Eraillure scar,0,Unidirectional-parallel A,Non-expressed, B7,Hinge,no,yes,bipolar
,631,bas,96,i12,85,complete,13.47,13.52,5.93,1.88,0.75,3.08,0.61,NA,#VALUE!,0,0.15,Paralell,Chert,Missing,Reduced to an edge,short hinged removals (A2),High,Hertzian cone present,0,NA,NA, B1,Hinge,NA,no,
,632,bas,96,i12,85,complete,12.87,12.87,3.23,1.53,1.42,2.28,1.37,NA,#VALUE!,0.1,0.06,Converging,Chalcedony,Oval/triangular (D3),Faceted (bulb negatives are present),None (A1);,Slight,Hertzian cone present,0,NA,Expressed and centered on the platform, B7,Feather,no,yes,
,633,bas,96,i12,85,complete,12.61,12.61,3.92,1.18,1.05,2.24,0.63,NA,#VALUE!,0.1,0.07,Paralell,Chert,Narrow linear (D2),Cortical,short hinged removals (A2),High,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Hinge,no,yes,
,634,bas,96,i12,85,complete,15.55,15.55,7.4,2.72,1.87,5.68,1.08,NA,#VALUE!,0.1,0.26,Paralell,Chalcedony,Crushed,Absent (broken platform),short hinged removals (A2),Very high,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,no,yes,bipolar
,635,bas,96,i12,85,complete,11.3,11.3,4.09,1.25,0.99,3.79,0.66,NA,#VALUE!,0.1,0.05,Paralell,Chalcedony,Missing,None (plain),short hinged removals (A2),High,Eraillure scar,11-40%,Unidirectional-parallel A,Expressed and centered on the platform, B7,Broken,no,yes,nice example of erraileur scar
,636,bas,96,i12,85,complete,13.71,13.71,4.82,1.46,0.8,1.23,0.68,NA,#VALUE!,0.2,0.07,Converging,Agate,Narrow linear (D2),"Residual faceting (ridges, but no bulb negatives)",short hinged removals (A2),Very high,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,no,yes,AFTER THIS PHOTO=BIPOLAR BLADELET CORES?
,637,bas,96,i12,85,complete,16.38,16.38,5.23,1.68,1.79,2.47,1,NA,#VALUE!,1,0.16,Paralell,Chalcedony,Narrow linear (D2),None (plain),None (A1);,None,none,11-40%,Bidirectional/opposed,Non-expressed, B7,Feather,no,yes,"bipolar scars on ventral, bipolar bladelet core?"
,638,bas,96,i12,85,complete,11.9,10.52,5.86,1.41,1.32,2.11,0.86,NA,#VALUE!,0.1,0.14,Paralell,Chalcedony,Oval/triangular (D3),Faceted (bulb negatives are present),short hinged removals (A2),Very high,Hertzian cone present,11-40%,Bidirectional/opposed,Expressed and centered on the platform, B1,Axial,no,yes,bipolar
,639,bas,96,i12,85,complete,13.11,13.11,5.13,1.43,1.28,1.63,0.48,NA,#VALUE!,0.1,0.11,Paralell,Chert,Narrow linear (D2),,short hinged removals (A2),High,Hertzian cone present,1-9%,NA,NA, B1,Feather,NA,no,
,640,bas,96,i12,85,complete,16.14,16.14,3.68,1.88,0.85,3.17,0.69,NA,#VALUE!,1,0.1,Paralell,Chalcedony,Narrow linear (D2),Cortical,short hinged removals (A2),High,none,0,NA,Non-expressed, B5,Axial,yes,yes,
,641,bas,96,i12,85,complete,12.45,12.45,4.06,0.88,1.1,1.78,0.76,NA,#VALUE!,1,0.07,Converging,Chert,Oval/triangular (D3),Faceted (bulb negatives are present),small removals following scar ridges (A3),Very high,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,yes,yes,utilization around all edges
,642,bas,96,i12,85,complete,13.18,13.18,4.31,1.14,1.73,2.66,1.21,NA,#VALUE!,0.5,0.1,Paralell,Chalcedony,Oval/triangular (D3),Faceted (bulb negatives are present),short hinged removals (A2),High,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Broken,no,yes,
,643,bas,96,i12,85,proximal,,,,,3.8,6.98,2.68,NA,#VALUE!,2,0.13,Converging,Chert,Oval/triangular (D3),Cortical,None (A1);,None,Hinged bulb,11-40%,NA,NA, B1,Feather,NA,no,
,644,bas,96,i12,85,complete,12.7,12.7,3.11,1.28,0.61,1.83,0.49,NA,#VALUE!,2,0.04,Converging,Chert,Narrow linear (D2),Reduced to an edge,None (A1);,Slight,Hertzian cone present,41-60%,Unidirectional-parallel A,Expressed and centered on the platform, B7,Feather,yes,yes,
,645,bas,96,i12,85,proximal but nearly complete,12.21,12.22,3.68,1.25,1.48,3.16,1.07,1.75,46.63541677,0.5,0.07,Paralell,Chalcedony,Quadrangular or wide trapezoidal (D5),Cortical,short hinged removals (A2),Very high,Hinged bulb,0,UnidirectioNAl-convergent,Non-expressed, B1,Bipolar ,yes,yes,
,646,bas,96,i12,85,proximal,,,,,1.14,3.17,0.49,NA,#VALUE!,0.4,0.12,Broken,Chert,Crushed,Reduced to an edge,short hinged removals (A2),Very high,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,647,bas,96,i12,85,complete,13.38,13.38,4.24,0.87,2.23,3.23,1,NA,#VALUE!,0.3,0.11,Converging,Chalcedony,Narrow linear (D2),Faceted (bulb negatives are present),short hinged removals (A2),Very high,Hertzian cone present,0,UnidirectioNAl-convergent,Expressed and lateralized on the platform, B1,Feather,no,yes,
,648,bas,96,i12,85,complete,16.07,16.07,4.25,2.14,1.55,3.53,0.89,NA,#VALUE!,0.4,0.16,Paralell,Chalcedony,Missing,Reduced to an edge,short hinged removals (A2),Very high,Hertzian cone present,41-60%,NA,NA, B1,Feather,NA,yes,pic after=bipolar rice core
,649,bas,96,i12,85,complete,14.62,14.61,4.34,1.88,1.14,3.28,0.61,NA,#VALUE!,0.6,0.07,Broken,Chert,Broken / fissured,Reduced to an edge,None (A1);,Very high,Eraillure scar,0,NA,NA, B1,Feather,NA,no,
,650,bas,96,i12,85,complete,12.82,10.47,4.75,2.02,0.85,1.21,0.41,NA,#VALUE!,0.5,0.08,Converging,Chert,Narrow linear (D2),None (plain),None (A1);,None,Hertzian cone present,41-60%,NA,NA, B1,Feather,NA,no,pic after=bipolar rice core
,651,bas,96,i12,85,complete,12.25,12.25,2.93,0.94,0.45,1.46,0.38,NA,#VALUE!,0.4,0.01,Converging,Chalcedony,Oval/triangular (D3),None (plain),short hinged removals (A2),High,none,0,UnidirectioNAl-convergent,Non-expressed, B1,Feather,yes,yes,twisted profile
,652,bas,96,i12,86,complete,51.14,48.38,17.51,3.1,5.21,6.46,4.96,2.98,72.5566044,1.5,3.85,Paralell,Hornfels,Oval/triangular (D3),Cortical,small removals following scar ridges (A3),Slight,Hertzian cone present,1-9%,Bidirectional/opposed,Expressed and centered on the platform, B7,Feather,no,yes,
,653,bas,96,i12,86,complete,47.82,45.27,15.98,4.17,2.79,8.48,1.88,2.97,72.37296279,3,3.39,Paralell,Hornfels,Chapeau de gendarme,Reduced to an edge,short hinged removals (A2),Slight,Hertzian cone present,1-9%,Sub-centripetal,Expressed and centered on the platform, B4,Axial,no,yes,"utilized, notched edges"
,654,bas,96,i12,86,complete,18.81,8.96,7.71,1.65,1.55,3.6,1.24,NA,#VALUE!,0.2,0.27,Paralell,Hornfels,Crushed,"Residual faceting (ridges, but no bulb negatives)",None (A1);,Very high,Eraillure scar,1-9%,Unidirectional-parallel A,Expressed and lateralized on the platform, B7,Feather,no,yes,non formal bladelet
,655,bas,96,i13,86,complete,29.45,28.38,10.38,2.45,2.25,4.98,1.07,1.6,43.01767567,1.5,1.22,Paralell,Agate,Crushed,Reduced to an edge,short hinged removals (A2),High,Hertzian cone present,1-9%,Unidirectional-parallel A,Expressed and lateralized on the platform, B7,Hinge,yes,yes,
,656,bas,96,i13,86,complete,28.27,28.27,5.7,2.08,1.27,1.97,0.97,NA,#VALUE!,2,0.57,Paralell,Agate,Punctiform (D1),None (plain),short hinged removals (A2),High,Hertzian cone present,11-40%,Unidirectional-parallel A,Expressed and centered on the platform, B7,Axial,no,yes,
,657,bas,96,i13,86,complete,28.2,25.85,11.18,2.83,1.43,1.29,0.5,NA,#VALUE!,2,0.75,Paralell,Chert,Punctiform (D1),Reduced to an edge,,High,Hertzian cone present,0,Bidirectional/opposed,Expressed and centered on the platform, B1,Feather,yes,yes,
,658,bas,96,i13,86,complete,41.45,10.04,4.91,2.19,2.6,3.09,1.4,NA,#VALUE!,1,2.44,Converging,Chalcedony,Oval/triangular (D3),None (plain),None (A1);,None,Hertzian cone present,1-9%,Orthogonal/crossed,Expressed and lateralized on the platform, B1,Axial,yes,yes,
,659,bas,96,i13,86,complete,26.9,26.9,4.59,4.67,2.29,4.28,1.76,NA,#VALUE!,4,1.02,Paralell,Chert,Quadrangular or wide trapezoidal (D5),None (plain),short hinged removals (A2),Slight,Hertzian cone present,11-40%,NA,NA, B1,Feather,NA,no,
,660,bas,96,i13,86,complete,26.82,26.82,7.35,5.46,5.76,3.68,5.1,3.93,88.13572111,0,1.03,Paralell,Chert,Oval/triangular (D3),Cortical,Other,None,Eraillure scar,11-40%,Unidirectional-parallel A,Non-expressed, B9,Axial,yes,yes,
,661,bas,96,i13,86,complete,30.83,30.83,7.75,2.57,2.01,2.38,1.19,NA,#VALUE!,1,0.73,Broken,Chert,Oval/triangular (D3),Faceted (bulb negatives are present),short hinged removals (A2),Very high,Hinged bulb,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,yes,yes,crushing on distal
,662,bas,96,i13,86,complete,27.54,27.28,9.18,2.99,1.95,3.38,1.33,NA,#VALUE!,4,0.98,Converging,Chert,Oval/triangular (D3),Faceted (bulb negatives are present),short hinged removals (A2),Very high,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,yes,yes,
,663,bas,96,i13,87,complete,16.43,16.43,5.02,1.47,1.39,2.57,0.93,NA,#VALUE!,2,0.13,Paralell,Chert,Crushed,Reduced to an edge,short hinged removals (A2),Very high,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,664,bas,96,i13,87,complete,14.65,14.66,7.63,1.35,1.19,1.99,1.08,1.78,47.34756316,1,0.14,Expanding,Chalcedony,Oval/triangular (D3),None (plain),small removals following scar ridges (A3),Slight,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,665,bas,96,i13,87,complete,11.66,11.66,3.45,1.82,2.19,3.19,1.33,NA,#VALUE!,0.5,0.07,Converging,Chalcedony,Oval/triangular (D3),Cortical,short hinged removals (A2),Slight,Eraillure scar,1-9%,NA,NA, B1,Feather,NA,no,
,666,bas,96,i13,87,complete,26.97,26.96,8.14,2.72,1.44,3.47,0.84,NA,#VALUE!,2,0.82,Converging,Chalcedony,Narrow linear (D2),None (plain),short hinged removals (A2),Slight,none,0,Bidirectional/opposed,Non-expressed, B7,Step,yes,yes,bipolar
,667,bas,96,i13,87,complete,18.93,18.94,7.33,3.16,2.02,3.06,1.68,NA,#VALUE!,3,0.69,Paralell,Chalcedony,Quadrangular or wide trapezoidal (D5),Cortical,short hinged removals (A2),Slight,Eraillure scar,1-9%,Unidirectional-parallel A,Expressed and centered on the platform, B4,Plunge,yes,yes,
,668,bas,96,i13,87,complete,12.41,3.58,1.29,1.23,0.86,1.42,0.76,NA,#VALUE!,0.5,0.04,Paralell,Chert,Oval/triangular (D3),None (plain),None (A1);,Slight,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,669,bas,96,i13,87,complete,20.01,20.01,5.44,1.03,2.09,5.39,2.04,2.41,61.38640184,0.2,0.14,Paralell,Chert,Oval/triangular (D3),Faceted (bulb negatives are present),small removals following scar ridges (A3),Slight,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,670,bas,96,i13,87,complete,16.77,16.77,5.14,1.28,1.04,1.72,0.49,NA,#VALUE!,0.2,0.13,Converging,Chert,Narrow linear (D2),None (plain),small removals following scar ridges (A3),None,none,0,Unidirectional-parallel A,Non-expressed, B1,Feather,no,yes,utilized edges
,671,bas,96,i13,87,complete,15.11,15.11,7.34,2.04,1.26,1.25,1.12,NA,#VALUE!,1,0.17,Converging,Chalcedony,Punctiform (D1),Faceted (bulb negatives are present),short hinged removals (A2),High,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,no,yes,almost like a basal thinning and emphasized tip
,672,bas,96,i13,87,complete,11.85,11.85,2.73,1.05,1.2,1.95,1.25,NA,#VALUE!,0.3,0.06,Paralell,Chalcedony,Punctiform (D1),Cortical,None (A1);,None,Sheared bulb,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,no,yes,mayeb core fragment
,673,bas,96,i13,87,complete,11.32,11.33,5.07,1.2,2.18,3.8,1.75,1.89,49.92557966,0.2,0.1,Paralell,Chalcedony,Oval/triangular (D3),Cortical,short hinged removals (A2),Slight,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,674,bas,96,i13,87,complete,9.98,9.98,2.6,0.82,0.66,1.67,0.61,NA,#VALUE!,0.5,0,Converging,Chert,Crushed,Reduced to an edge,small removals following scar ridges (A3),Very high,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,675,bas,96,i13,87,complete,16.14,15.29,8.09,2.65,2.99,4.34,1.19,NA,#VALUE!,0.4,0.45,Paralell,Chert,Narrow linear (D2),Cortical,short hinged removals (A2),High,lipped,0,NA,NA, B1,Feather,NA,no,
,676,bas,96,i13,88,complete,18.84,16.39,4.72,2.21,0.68,2.11,0.55,NA,#VALUE!,0.5,0.25,Paralell,Chert,Missing,Reduced to an edge,short hinged removals (A2),Very high,none,11-40%,Unidirectional-parallel A,Non-expressed, B8,Axial,no,yes,utilized distal?
,677,bas,96,i13,88,complete,9.03,9.17,3.39,1.15,0.48,2.03,0.36,NA,#VALUE!,0,0,Converging,Chalcedony,Narrow linear (D2),None (plain),None (A1);,None,Eraillure scar,11-40%,NA,NA, B1,Feather,NA,no,
,678,bas,96,i13,88,complete,19.38,19.37,5.16,1.49,1.29,2.91,0.82,NA,#VALUE!,3,0.2,Paralell,Chalcedony,Missing,Reduced to an edge,short hinged removals (A2),Very high,Hertzian cone present,0,Bidirectional/opposed,Expressed and centered on the platform,"Plunging, no cortex",Axial,yes,yes,bipolar
,679,bas,96,i13,88,complete,18.25,18.24,6.63,1.94,2.02,5.07,1.09,NA,#VALUE!,0.2,0.3,Converging,Chert,Missing,Reduced to an edge,short hinged removals (A2),Very high,none,0,NA,NA, B1,Feather,NA,no,
,680,bas,96,i13,88,complete,13.66,13.67,4.23,1.18,1.21,2.52,0.74,NA,#VALUE!,0.3,0.12,Paralell,Agate,Lunate (D4),None (plain),short hinged removals (A2),Slight,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,681,bas,96,i13,88,complete,21.93,21.93,8.91,2.49,1.89,4.97,1.74,2.59,65.07013432,4,0.53,Converging,Chert,Oval/triangular (D3),Dihedral,small removals following scar ridges (A3),Very high,Hertzian cone present,0,NA,NA, B1,Feather,NA,yes,
06.21.13,682,bas,96,i13,88,complete,19.57,19.57,5.34,2.44,1.33,4.65,0.66,NA,#VALUE!,0.5,0.28,Converging,Chert,Crushed,Reduced to an edge,short hinged removals (A2),Very high,none,0,NA,NA, B1,Feather,NA,yes,
,683,bas,96,i13,88,complete,14.11,13.59,3.72,1.55,0.91,1.7,0.68,NA,#VALUE!,0.5,0.1,Converging,Chert,Oval/triangular (D3),Cortical,None (A1);,None,Hertzian cone present,61-90%,NA,NA, B1,Feather,NA,no,pseudo bladelets
,684,bas,96,i13,88,complete,18.8,18.82,6.53,3.3,2.25,1.67,0.8,NA,#VALUE!,1,0.48,Paralell,Chert,Missing,Other,None (A1);,None,Sheared bulb,0,Bidirectional/opposed,Non-expressed, B1,Axial,no,yes,bipolar?
,685,bas,96,i13,88,complete,21.16,21.16,8,3.78,2.71,2.85,1.82,NA,#VALUE!,0.4,0.67,Paralell,Chert,Broken / fissured,Absent (broken platform),None (A1);,Very high,Eraillure scar,61-90%,NA,NA, B1,Feather,NA,no,pseudo bladelet
,686,bas,96,i13,88,complete,11.94,11.94,5.31,1.95,2.29,3.05,0.82,NA,#VALUE!,0.2,0.14,Converging,Chert,Missing,Reduced to an edge,short hinged removals (A2),Very high,none,1-9%,NA,NA, B1,Feather,NA,no,
,687,bas,96,i13,88,complete,14.63,10.06,5.34,1.84,1.88,3.83,1.17,NA,#VALUE!,1,0.16,Converging,Chalcedony,Narrow linear (D2),None (plain),short hinged removals (A2),None,Hertzian cone present,0,Bidirectional/opposed,Expressed and lateralized on the platform, B1,Feather,yes,yes,utilized lateral
,688,bas,96,i13,88,complete,17.42,17.42,7.15,1.82,1.96,6.99,1.01,NA,#VALUE!,2,0.37,Converging,Chert,Lunate (D4),Cortical,short hinged removals (A2),Very high,Hertzian cone present,1-9%,Bidirectional/opposed,Expressed and centered on the platform, B7,Plunge,yes,yes,
,689,bas,96,i13,88,complete,21.31,19.34,7.05,2.53,1.88,3.32,0.74,NA,#VALUE!,2,0.48,Converging,Agate,Crushed,Reduced to an edge,short hinged removals (A2),Very high,Eraillure scar,0,NA,NA, B1,Feather,NA,no,utilized lateral
,690,bas,96,i13,88,complete,17.43,14.89,4.85,2.01,0.93,2.43,0.54,NA,#VALUE!,2.1,0.21,Converging,Chert,Narrow linear (D2),Reduced to an edge,short hinged removals (A2),Very high,Hertzian cone present,1-9%,Unidirectional-parallel A,Expressed and centered on the platform, B2,Plunge,yes,yes,
,691,bas,96,i13,88,complete,19,19,5.54,2.09,1.79,5.5,1.38,1.24,33.96730471,1.3,0.24,Converging,Chert,Narrow linear (D2),Cortical,short hinged removals (A2),High,Hertzian cone present,0,Unidirectional-parallel A,Expressed and lateralized on the platform,Core mainteNAnce flake,Plunge,yes,yes,
,692,bas,96,i13,88,complete,18.05,18.05,7.15,2.76,2.38,2.77,1.46,2.26,58.20502052,0.4,0.34,Paralell,Chalcedony,Oval/triangular (D3),Cortical,None (A1);,None,Eraillure scar,0,Sub-centripetal,Expressed and lateralized on the platform, B9,Axial,yes,yes,
,693,bas,96,i13,88,complete,20.44,20.55,7.53,1.91,2.02,2.58,0.81,NA,#VALUE!,1,0.47,Expanding,Chert,Narrow linear (D2),None (plain),short hinged removals (A2),High,none,0,Unidirectional-parallel A,Non-expressed, B3,Axial,no,yes,
,694,bas,96,i13,88,complete,14.88,12.5,5.56,1.49,1.54,1.33,1.36,1.59,42.77316716,1.5,0.17,Converging,Chalcedony,Oval/triangular (D3),None (plain),,None,none,0,NA,Non-expressed, B1,Feather,NA,no,
,695,bas,96,i13,88,complete,21.15,21.15,5.43,1.87,1.24,2.9,1.04,1.34,36.53087035,0.4,0.21,Converging,Chert,Narrow linear (D2),Cortical,None (A1);,None,none,0,Unidirectional-parallel A,Non-expressed, B7,Feather,no,yes,bipolar
,696,bas,96,i13,88,complete,16.15,15.23,6.9,2.09,2.27,4.67,2.22,NA,#VALUE!,1.5,0.29,Paralell,Chert,Quadrangular or wide trapezoidal (D5),Faceted (bulb negatives are present),None (A1);,High,Hertzian cone present,0,NA,NA, B1,Hinge,NA,no,
,697,bas,96,i13,88,complete,20.79,20.1,6.27,2.3,3.16,3.61,1.92,3.03,73.46835902,0.3,0.59,Paralell,Chert,Oval/triangular (D3),Cortical,short hinged removals (A2),None,Hertzian cone present,0,Unidirectional-parallel A,Expressed and lateralized on the platform, B7,Hinge,no,yes,"part of core that flat platformed bladelets are coming from, bipolar"
,698,bas,96,i13,88,complete,12.31,12.31,4.57,1.67,0.89,5.76,4.12,1.6,43.01767567,0.4,0.23,Paralell,Chert,Lunate (D4),Reduced to an edge,short hinged removals (A2),Slight,Hertzian cone present,1-9%,NA,Non-expressed, B1,Feather,NA,no,
,699,bas,96,i13,88,complete,9.19,9.19,5.42,2.14,2.23,4.06,2.13,1.88,49.69338635,0.2,0.1,Paralell,Chert,Oval/triangular (D3),Cortical,short hinged removals (A2),High,none,1-9%,NA,Non-expressed, B1,Feather,NA,no,
,700,bas,96,i13,88,complete,17.19,17.18,3.74,1.75,1.24,2.26,1.12,NA,#VALUE!,0,0.13,Paralell,Chert,Broken / fissured,"Residual faceting (ridges, but no bulb negatives)",short hinged removals (A2),High,Hertzian cone present,11-40%,Unidirectional-parallel A,Expressed and lateralized on the platform, B7,Hinge,no,yes,heated
,701,bas,96,i13,88,complete,14.06,14.06,5.14,1.14,1.41,2.23,1.06,1.63,43.74873344,0,0.16,Paralell,Chert,Lunate (D4),Cortical,None (A1);,None,Eraillure scar,11-40%,Unidirectional-parallel A,Expressed and lateralized on the platform, B7,Hinge,no,yes,bipolar
,702,bas,96,i13,88,complete,15.26,15.26,6.48,1.34,1.01,2.75,0.39,NA,#VALUE!,1,0.12,Converging,Chalcedony,Narrow linear (D2),None (plain),short hinged removals (A2),Very high,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,no,yes,utilized edges
,703,bas,96,i13,88,complete,21.35,19.56,3.19,2.07,1.71,3.44,1.25,NA,#VALUE!,1,0.2,Converging,Chalcedony,Oval/triangular (D3),Faceted (bulb negatives are present),None (A1);,None,Hertzian cone present,91-99%,Unidirectional-parallel A,Expressed and centered on the platform,A3,Axial,no,yes,
,704,bas,96,i13,88,complete,18.56,18.56,7.3,2.26,1.33,1.37,0.73,NA,#VALUE!,1,0.34,Converging,Chert,Missing,Reduced to an edge,None (A1);,High,Hertzian cone present,0,NA,NA, B1,Feather,NA,no,
,705,bas,96,i13,88,complete,13.22,12.67,3.66,1.01,0.81,2.73,0.67,NA,#VALUE!,1,0.06,Converging,Chert,Oval/triangular (D3),None (plain),short hinged removals (A2),High,Hertzian cone present,0,Unidirectional-parallel A,Expressed and lateralized on the platform, B1,Feather,yes,yes,twisted
,706,bas,96,i13,88,complete,18.61,18.61,5.78,1.65,1.57,3.18,0.59,NA,#VALUE!,1,0.27,Paralell,Chert,Missing,Reduced to an edge,short hinged removals (A2),Very high,Sheared bulb,0,UnidirectioNAl-convergent,Expressed and centered on the platform, B4,Axial,no,yes,
,707,bas,96,i13,88,complete,13.5,13.5,4.21,1.2,1.19,3.2,1.22,NA,#VALUE!,1,0.08,Converging,Chalcedony,Oval/triangular (D3),Faceted (bulb negatives are present),short hinged removals (A2),Very high,Hertzian cone present,0,Unidirectional-parallel A,Expressed and lateralized on the platform, B1,Feather,yes,no,
,708,bas,96,i13,88,complete,12.89,12.89,5.34,1.71,2.15,3.68,1.31,2.42,61.59488248,0.3,0.14,Paralell,Agate,Oval/triangular (D3),None (plain),short hinged removals (A2),Very high,none,0,NA,Expressed and lateralized on the platform, B7,Feather,no,no,
,709,bas,96,i13,88,complete,10.67,10.67,3.09,1.05,0.68,1.1,0.51,NA,#VALUE!,0.5,0.02,Converging,Chalcedony,Punctiform (D1),None (plain),short hinged removals (A2),High,Hertzian cone present,0,NA,NA, B1,Feather,no,no,
,710,bas,96,i13,88,complete,11.15,11.16,4.03,1.51,1.01,0.62,0.64,NA,#VALUE!,0,0.05,Converging,Agate,Punctiform (D1),None (plain),short hinged removals (A2),Slight,Hertzian cone present,11-40%,UnidirectioNAl-convergent,Expressed and centered on the platform, B1,Feather,no,yes,"retouched distal, photo after = rice grain core"
,711,bas,96,i13,88,complete,10.84,10.84,4.45,1.05,1.11,0.99,0.64,NA,#VALUE!,0.2,0.04,Converging,Chert,Oval/triangular (D3),None (plain),None (A1);,Slight,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Feather,yes,no,
